english,irish
Co-operating and communicating in making drama,Comhoibriú agus cumarsáid i ndéanamh drámaíochta 
Exploring and making drama,Iniúchadh agus déanamh drámaíochta
Reflecting on drama,Léirsmaoineamh ar dhrámaíocht 
Competence and confidence in using language,Competence and confidence in using language
Developing cognitive abilities through oral language,Developing cognitive abilities through oral language
Emotional and imaginative development through language,Emotional and imaginative development through language
Receptiveness to language,Receptiveness to language
Competence and confidence in using language,Competence and confidence in using language
Developing cognitive abilities through language,Developing cognitive abilities through language
Emotional and imaginative development through language,Emotional and imaginative development through language
Receptiveness to language,Receptiveness to language
Competence and confidence in using language,Competence and confidence in using language
Developing cognitive abilities through language,Developing cognitive abilities through language
Emotional and imaginative development through language,Emotional and imaginative development through language
Receptiveness to language,Receptiveness to language
Caring for my locality,Ag tabhairt aire don dúiche timpeall orm
Caring for the environment,Ag tabhairt aire don imshaol
Environmental awareness,Feasacht imshaoil 
"County, regional and national centres","Lárionaid sa chontae, sa réigiún agus sa tír"
Living in the local community,Ag maireachtáil sa phobal áitiúil 
People and other lands,Daoine agus críocha eile
People and places in other areas,Daoine agus áiteanna i gceantair eile 
People living and working in the local area and People living and working in a contrasting part of Ireland,Daoine a chónaíonn agus a shaothraíonn sa cheantar áitiúil agus i gceantar codarsnach in Éirinn
Trade and development issues,Saincheisteanna trádála agus forbartha 
"Land, rivers and seas of Ireland","Talamh, aibhneacha agus farraigí na hÉireann "
"Land, rivers and seas of my county","Talamh, aibhneacha agus farraigí mo chontae"
Physical features of Europe and the world,Gnéithe fisiceacha na hEorpa agus an domhain 
Planet Earth in space,Pláinéad an Domhain sa spás 
Rocks and soil,Carraigeacha agus ithreacha
Rocks and soils,Carraigeacha agus ithreacha
The local natural environment,An t-imshaol nádúrtha áitiúil 
Weather,An aimsir 
"Weather, climate and atmosphere","Aimsir, aeráid agus aerbhrat "
Continuity and change in the local environment,Leanúnachas agus athrú sa gharthimpeallacht
"Barter, trade and money","Babhtáil, trádáil agus airgead "
Caring for the sick,Cúram na n-easlán
Clothes,Éadaí
Communications,Cumarsáid
Energy and power,Fuinneamh agus cumhacht
Food and farming,Bia agus feirmeoireacht
Homes and houses,Áitribh agus tithe 
"Homes, housing and urban developments","Áitribh, forbairtí tithíochta agus uirbeacha"
"Literature, art, crafts and culture","Litríocht, ealaín, ceardaíocht agus cultúr"
Nomadism,Fánaíocht
Schools and education,Scoileanna agus oideachas
Shops and fairs,Siopaí agus aontaí 
Transport,Iompar
Workshops and factories,Ceardlanna agus monarchana 
African peoples e.g.Benin peoples,Pobail na hAfraice m.sh. Pobail Bheinin
"Asian peoples e.g. peoples of the Indus valley, Ch'in and Han empires of China","Pobail na hÁise m.sh. pobail Ghleann na hIondúise, na hImpireachtaí Ch'in agus Han sa tSín"
Australasian peoples e.g. Maori,Pobail na hAstraláise m.sh. Na Maoraigh
Bronze Age peoples,Pobail na Cré-umhaoise 
Celts,Na Ceiltigh
Central and South American peoples e.g. Aztecs,Pobail Mheiriceá Láir agus Theas m.sh. Na hAistéicigh
Early Christian Ireland,Éire Luath-Chríostaí
Early societies of the Tigris and Euphrates valleys,Sochaithe luatha Ghleannta na Tígrise agus na hEofraite
Egyptians,Na hÉigiptigh
Greeks,Na Gréagaigh
North American peoples e.g. Native American peoples,Pobail Thuaisceart Mheiriceá m.sh. Pobail Dhúchasacha Mheiriceá
Romans,Na Rómhánaigh
Stone Age peoples,Pobail na Clochaoise
Vikings,Na Lochlannaigh
Changing land ownership in 19th-century Ireland,An t-athrú in úinéireacht na talún in Éirinn sa naoú haois déag
Changing roles of women in 19th and 20th centuries,An t-athrú i rólanna na mban sa naoú haois déag agus san fhichiú haois 
Modern Ireland,Éire nua-aoiseach
The Great Famine,An Gorta Mór
The Industrial Revolution,An Réabhlóid Thionsclaíoch
The Reformation,An Reifirméisean
The Renaissance,An Renaissance 
"Traders, explorers and colonisers from Europe","Trádálaithe, taiscéalaithe agus coilínigh ón Eoraip"
World War I,An Chéad Chogadh Domhanda
Language and culture in late 19th and early 20th-century Ireland,Teanga agus cultúr in Éirinn ag deireadh na naoú haoise déag agus ag tús na fichiú haoise
Life during World War II,An saol le linn an Dara Cogadh Domhanda 
Life in Ireland since the 1950s,An saol in Éirinn ó chaogaidí na fichiú haoise i leith
Life in mediaeval towns and countryside in Ireland and Europe,An saol sna bailte móra agus faoin tuath in Éirinn agus san Eoraip i rith na Meánaoise
Life in Norman Ireland,An saol in Éirinn i rith thréimhse na Normannach
Life in the 18th century,An saol san ochtú haois déag
Life in the 19th century,An saol sa naoú haois déag 
"Buildings, sites or ruins in my locality","Foirgnimh, láithreáin nó fothraigh i mo cheantar"
Feasts and festivals in the past,Féastaí agus féilte san am atá thart
Games and pastimes in the past,Cluichí agus caitheamh aimsire san am atá thart
Homes,Áitribh
My family,Mo mhuintir
My locality through the ages,Mo cheantar trí na haoiseanna
My school,Mo scoil
Schools,Scoileanna
Feasts and festivals in the past,Féastaí agus féilte san am atá thart
Games in the past,Cluichí san am atá thart
My family or The family of a person known to me,Mo mhuintir nó muintir duine a bhfuil aithne agam air/uirthi
Myself,Mise
When my grandparents were young,Nuair a bhí mo sheanaithreacha/sheanmháithreacha óg
16th and 17th-century Ireland,Éire sa séú agus sa seachtú haois déag
1916 and the foundation of the state,1916 agus bunú an stáit
"Ireland, Europe and the world, 1960 to the present","Éire, an Eoraip agus an Domhan ó 1960 i leith"
Northern Ireland,Tuaisceart Éireann
O’Connell and Catholic Emancipation,Ó Conaill agus Saoirse na gCaitliceach 
"Revolution and change in America, France and Ireland","Réabhlóid agus athrú i Meiriceá, sa Fhrainc agus in Éirinn"
Myths and legends,Miotais agus finscéalta
Stories,Scéalta
Stories from the lives of people in the past,Scéalta as saol daoine a mhair san am atá thart
Ag cothú spéise,Ag cothú spéise
Ag tuiscint teanga,Ag tuiscint teanga
Ag cothú spéise,Ag cothú spéise
Ag úsáid teanga,Ag úsáid teanga
Ag cothú fonn léitheoireachta,Ag cothú fonn léitheoireachta
Ag cothú spéise,Ag cothú spéise
Ag tuiscint teanga,Ag tuiscint teanga
Ag úsáid teanga,Ag úsáid teanga
Ag cothú fonn scríbhneoireachta,Ag cothú fonn scríbhneoireachta
Ag cothú spéise,Ag cothú spéise
Ag úsáid teanga,Ag úsáid teanga
Directed Numbers,Uimhreacha treocha
Equations,Cothromóidí
Extending and using patterns,Patrúin a iniúchadh agus a úsáid
Extending patterns,Patrúin a fhorleathnú 
Number patterns and sequences,Uimhirphatrúin agus seichimh 
Number sentences,Uimhirabairtí
Rules and properties,Rialacha agus airíonna
Variables,Athróga
Chance,Seans
Representing and interpreting data,Sonraí a aithint agus a léirmhíniú
Classifying,Rangú
Comparing,Comparáid a dhéanamh 
Matching,Meaitseáil 
Ordering,Cur in ord 
Area,Achar
Capacity,Toilleadh
Length,Fad
Money-euro,Airgead - euro
Time,Am
Weight,Meáchan
Analysis of Number - Combining,Anailís uimhris - Cónascadh
Analysis of Number - Numeration,Anailís uimhris - Uimhriú
Analysis of Number - Partitioning,Anailís uimhris - Foroinnt
Comparing and Ordering,Comparáid agus ordú 
Counting,Comhaireamh 
Counting and numeration,Comhaireamh agus uimhriú 
Decimals,Deachúlacha
Decimals and percentages,Deachúlacha agus céatadáin 
Fractions,Codáin
Number theory,Teoiric uimhris 
Operations,Oibríochtaí 
Operations - Addition,Oibríochtaí - Suimiú
Operations - Addition & Subtraction,Oibríochtaí - Suimiú agus dealú
Operations - Division,Oibríochtaí - Roinnt
Operations - Multiplication,Oibríochtaí - Iolrú
Operations - Subtraction,Oibríochtaí - Dealú
Place Value,Ionadluach
2-D shapes,Cruthanna 2-T
3-D shapes,Cruthanna 3-T
Angles,Uillinneacha
Lines and angles,Línte agus uillinneacha
Spatial awareness,Feasacht ar spásúlacht
Symmetry,Siméadracht 
Improvising and creating,Tobchumadh agus cruthú 
Talking about and recording compositions,Píosaí cumadóireachta a phlé agus a thaifeadadh 
Exploring sounds,Iniúchadh fuaimeanna
Listening and responding to music,Éisteacht le ceol agus freagairt dó 
Early literacy,Tús na litearthachta
Literacy,Litearthacht
Playing instruments,Seinm uirlisí 
Song singing,Amhránaíocht
Buoyancy and propulsion,Snámhacht agus tiomáint
Entry to and exit from the water,Dul isteach san uisce agus teacht amach as
Hygiene,Sláinteachas
Stroke development,Forbairt banganna snámha
Understanding and appreciation of aquatics,Oiliúint uisce a chiallú agus a léirthuiscint
Water safety,Sábháilteacht uisce
Water-based ball games,Cluichí liathróide uisce
Jumping,Léimneach
Running,Rith
Throwing,Caitheamh
Understanding and appreciation of athletics,An lúthchleasaíocht a chiallú agus a léirthuiscint
"Exploration, creation and performance of dance","An damhsa a iniúchadh, a chruthú agus a dhéanamh"
Understanding and appreciation of dance,An damhsa a chiallú agus a léirthuiscint
Creating and playing games,Cluichí a cheapadh agus a imirt
"Sending, receiving and travelling","Seoladh, glacadh agus taisteal"
Understanding and appreciation of games,Cluichí a chiallú agus a léirthuiscint
Movement,Luail
Understanding and appreciation of gymnastics,An ghleacaíocht a chiallú agus a léirthuiscint
Orienteering,Treodóireacht
Outdoor challenges,Dushláin lasmuigh
Understanding and appreciation of outdoor and adventure activities,Gníomhaíochtaí lasmuigh agus gníomhaíochtaí eachtraíochta a chiallú agus a léirthuiscint
Walking,Siúl
"Walking, cycling and camping activities","Siúl, rothaíocht agus gníomhaíochtaí campála"
Water-based activities,Gníomhaíochtaí uisce 
Forces,Fórsaí
Heat,Teas
Light,Solas
Magnetism and electricity,Maighnéadas agus leictreachas 
Sound,Fuaim 
Caring for my locality,Cúram de mo thimpeallacht 
Caring for the environment,Cúram imshaoil
Environmental awareness,Feasacht imshaoil
Science and the environment,Eolaíocht agus an t-imshaol
Human Life,An bheatha dhaonna
Myself,Mise
Plant and animal life,Plandaí agus ainmhithe
Plants and Animals,Plandaí agus ainmhithe
Materials and change,Ábhair agus athrú
Properties and characteristics of materials,Airíonna agus tréithe ábhar
Growing and changing,Ag fás agus ag athrú
Making decisions,Ag déanamh cinntí
Safety and protection,Sábháilteacht agus cosaint
Self-identity,Féinaithne
Taking care of my body,Ag tabhairt aire do mo chorp
My friends and other people,Mo chairde agus daoine eile
Myself and my family,Mise agus mo theaghlach
Relating to Others,Caidreamh le daoine eile 
Developing citizenship,Ag forbairt saoránachta
Media education,Oideachas na meán cumarsáide 
Developing Form in Clay,Forbairt foirme i gcré
Looking and Responding,Breathnú agus freagairt 
Looking and Responding,Breathnú agus freagairt 
Making Constructions,Struchtúir a dhéanamh
Looking and Responding,Breathnú agus freagairt 
Making Drawings,Líníochtaí a dhéanamh
Creating in Fabric and Fibre,Cruthú le fabraic agus le snáithín
Looking and Responding,Breathnú agus freagairt 
Looking and Responding,Breathnú agus freagairt 
Painting,Péinteáil
Looking and Responding,Breathnú agus freagairt 
Making Prints,Priontaí a dhéanamh
