Subject;Class;Strand;Strand Unit;Content Objectives;Further Information
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss issues of major concern;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss ideas and concepts encountered in other areas of the curriculum;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;use a discussion of the familiar as the basis of a more formal or objective grasp of a topic or concept;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;use the basic key questions and checking questions as a means of extending knowledge;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;listen to a presentation on a particular topic, decide through discussion which are the most appropriate questions to ask, and then prioritise them;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;argue points of view from the perspective of agreement and disagreement through informal discussion and in the context of formal debates;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;justify and defend particular opinions or attitudes and try to persuade others to support a particular point of view;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;respond to arguments presented by the teacher;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss the value, truth or relevance of popular ideas, causes and proverbs;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;explore and express conflicts of opinion through improvisational drama;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;explore historical contexts through improvisational drama;
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;give a description, recount a narrative or describe a process, and answer questions about it;
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;listen to other children describe experiences and ask questions about their reactions to them;
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;become increasingly explicit in relation to people, places, times, processes and events by adding elaborative detail to what he/she describes and narrates;
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;listen to a story or narrative and ask questions about it;
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;engage in real and imaginary situations involving language use ;explain, persuade, enquire, report, agree, dissent, discuss a point of view, justify opinions, 
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;engage in real and imaginary situations involving language use ;provide solutions to problems
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;ask questions that will satisfy his/her curiosity and wonder ;who? where? what? when? why? how? what if?
English;Junior Infants & Senior Infants;Oral Language ;Developing cognitive abilities through oral language ;provide further information in response to the teacher's prompting;
English;Junior Infants & Senior Infants;Oral Language ;Developing cognitive abilities through oral language ;listen to a story or a narrative and ask questions about it;
English;Junior Infants & Senior Infants;Oral Language ;Developing cognitive abilities through oral language ;focus on descriptive detail and begin to be explicit in relation to people, places, times, processes, events, colour, shape, size, position;
English;Junior Infants & Senior Infants;Oral Language ;Developing cognitive abilities through oral language ;discuss different possible solutions to simple problems;
English;Junior Infants & Senior Infants;Oral Language ;Developing cognitive abilities through oral language ;ask questions in order to satisfy curiosity about the world;
English;Junior Infants & Senior Infants;Oral Language ;Developing cognitive abilities through oral language ;show understanding of text;
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss issues that directly affect his/her life;in school
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss issues that directly affect his/her life;outside school
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss issues that directly affect his/her life;in other areas of the curriculum
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss a story being read and predict future events and likely outcomes in it;
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss different possible solutions to problems;
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss what he/she knows of a particular topic or process as a basis for encountering new concepts;
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss causes and effects in relation to processes and events and predict possible outcomes;
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;listen to a presentation and discuss and decide which are the most important questions to ask;
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;learn how to use the basic key questions ;why? how? where? when? what? what if?
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;make presentations to the class about his/her own particular interests;
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;justify personal likes and dislikes;
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;argue a point of view and try to persuade others to support it;
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;explore historical events through improvisational drama;
English;3rd Class & 4th Class;Oral Language ;Developing cognitive abilities through oral language ;explore reactions to ideas through improvisational drama;
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;acquire the ability to give detailed instructions and directions;
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;converse freely and confidently on a range of topics;
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;give and take turns in an environment where tolerance for the views of others is fostered;
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;discuss the positive and negative effects of jargon, slang and cliché, and express examples of them in his/her own language;
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;practise and use improvisational drama to acquire a facility in performing more elaborate social functions ;welcoming visitors 
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;practise and use improvisational drama to acquire a facility in performing more elaborate social functions ;showing them the work of the class 
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;practise and use improvisational drama to acquire a facility in performing more elaborate social functions ;making formal introductions 
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;practise and use improvisational drama to acquire a facility in performing more elaborate social functions ;proposing a vote of thanks 
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;practise and use improvisational drama to acquire a facility in performing more elaborate social functions ;expressing sympathy 
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;practise and use improvisational drama to acquire a facility in performing more elaborate social functions ;making a complaint
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;understand the functions and know the names of the parts of speech;noun, verb, adjective, adverb, pronoun, conjunction, preposition, article, interjection
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;learn about and name the basic properties of nouns and verbs;common, proper, gender, case, tense, voice, person, number
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;become familiar with compound and complex sentences, and know and understand the terms 'phrase' and 'clause';
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;explore the possibilities of language and sentence structure in expressing increasingly complex thoughts;
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;discuss the meaning, effect and diversity of local words and expressions;
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;hear accents and dialects other than his/her own on tape and on video and discuss them;
English;5th Class & 6th Class;Oral Language ;Competence and confidence in using language;use improvisational drama to learn how local idiom, accent and dialect can influence the effect of language in particular situations;
English;1st Class & 2nd Class;Oral Language ;Competence and confidence in using language;talk about and reflect on past and present experiences, and plan, predict, anticipate and speculate about future and imaginary experiences;
English;1st Class & 2nd Class;Oral Language ;Competence and confidence in using language;experiment with more elaborate vocabulary and sentence structure in order to extend and explore meaning;experimenting with descriptive words 
English;1st Class & 2nd Class;Oral Language ;Competence and confidence in using language;experiment with more elaborate vocabulary and sentence structure in order to extend and explore meaning;combining simple sentences 
English;1st Class & 2nd Class;Oral Language ;Competence and confidence in using language;experiment with more elaborate vocabulary and sentence structure in order to extend and explore meaning;elaborating simple sentences
English;1st Class & 2nd Class;Oral Language ;Competence and confidence in using language;experiment with word order and examine its implications for meaning and clarity;
English;1st Class & 2nd Class;Oral Language ;Competence and confidence in using language;focus on the subject under discussion and sustain a conversation on it;
English;1st Class & 2nd Class;Oral Language ;Competence and confidence in using language;initiate discussions, respond to the initiatives of others, and have practice in taking turns;
English;1st Class & 2nd Class;Oral Language ;Competence and confidence in using language;engage in real and imaginary situations to perform different social functions;greeting others 
English;1st Class & 2nd Class;Oral Language ;Competence and confidence in using language;engage in real and imaginary situations to perform different social functions;receiving and giving compliments 
English;1st Class & 2nd Class;Oral Language ;Competence and confidence in using language;engage in real and imaginary situations to perform different social functions;using the telephone 
English;1st Class & 2nd Class;Oral Language ;Competence and confidence in using language;engage in real and imaginary situations to perform different social functions;making requests for information
English;Junior Infants & Senior Infants;Oral Language ;Competence and confidence in using language;talk about past and present experiences, and plan, predict and speculate about future and imaginary experiences;
English;Junior Infants & Senior Infants;Oral Language ;Competence and confidence in using language;choose appropriate words to name and describe things and events;
English;Junior Infants & Senior Infants;Oral Language ;Competence and confidence in using language;experiment with descriptive words to add elaborative detail;
English;Junior Infants & Senior Infants;Oral Language ;Competence and confidence in using language;combine simple sentences through the use of connecting words;
English;Junior Infants & Senior Infants;Oral Language ;Competence and confidence in using language;initiate and sustain a conversation on a particular topic;
English;Junior Infants & Senior Infants;Oral Language ;Competence and confidence in using language;use language to perform common social functions;introducing oneself and others 
English;Junior Infants & Senior Infants;Oral Language ;Competence and confidence in using language;use language to perform common social functions;greeting others and saying goodbye 
English;Junior Infants & Senior Infants;Oral Language ;Competence and confidence in using language;use language to perform common social functions;giving and receiving messages 
English;Junior Infants & Senior Infants;Oral Language ;Competence and confidence in using language;use language to perform common social functions;expressing concern and appreciation
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;give and take turns in speaking and experience a classroom environment in which tolerance for the views of others is fostered;
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;initiate conversations and respond to the initiatives of others in talking about experiences and activities;
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;present ideas that are relevant to the subject in a logical sequence;
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;summarise and prioritise ideas;
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;discuss the meanings and origins of words, phrases and expressions with the teacher;
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;become aware of new words and new connotations of words through his/her reading and writing experience;
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;play synonym and antonym games;
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;become familiar with the functions of words without necessarily using technical grammatical terms;noun, verb, adjective, adverb, pronoun, preposition
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;practise the common social functions in the everyday context of class and school and through improvisational drama;introducing others to the class group or another pupil 
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;practise the common social functions in the everyday context of class and school and through improvisational drama;expressing appreciation 
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;practise the common social functions in the everyday context of class and school and through improvisational drama;expressing approval and disapproval 
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;practise the common social functions in the everyday context of class and school and through improvisational drama;engaging in simple commercial transactions 
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;practise the common social functions in the everyday context of class and school and through improvisational drama;expressing concern
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;practise the common social functions in the everyday context of class and school and through improvisational drama;asking questions to elicit views and feelings 
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;practise the common social functions in the everyday context of class and school and through improvisational drama;expressing support 
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;practise the common social functions in the everyday context of class and school and through improvisational drama;giving directions
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;make lists of local expressions and words;
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;use improvisational drama to re-create well known characters;
English;3rd Class & 4th Class;Oral Language ;Competence and confidence in using language;hear, discuss and react to local storytellers;
English;5th Class & 6th Class;Oral Language ;Receptiveness to language ;experience from the teacher a growing elaboration and sophistication in the use of vocabulary and sentence structure;
English;5th Class & 6th Class;Oral Language ;Receptiveness to language ;listen to expressions, reactions, opinions and interpretations and retell or summarise them;
English;5th Class & 6th Class;Oral Language ;Receptiveness to language ;listen to radio broadcasts and discuss what has been learned;
English;5th Class & 6th Class;Oral Language ;Receptiveness to language ;follow detailed instructions or directions from others in order to test their accuracy;
English;5th Class & 6th Class;Oral Language ;Receptiveness to language ;take part in games in which unseen objects are identified from descriptions given by other pupils;
English;5th Class & 6th Class;Oral Language ;Receptiveness to language ;be continually aware of the importance of gesture, facial expression, audibility and clarity of enunciation in communicating with others;
English;5th Class & 6th Class;Oral Language ;Receptiveness to language ;use mime to convey ideas, reactions, emotions, desires and attitudes;
English;5th Class & 6th Class;Oral Language ;Receptiveness to language ;interpret mood, attitude, emotion and atmosphere in video extracts, advertisements, paintings and photographs;
English;5th Class & 6th Class;Oral Language ;Receptiveness to language ;listen to or watch sound tapes, videos and films and discuss how sound effects enhance the content;
English;5th Class & 6th Class;Oral Language ;Receptiveness to language ;listen to authors reading and discussing their own work;
English;1st Class & 2nd Class;Oral Language ;Receptiveness to language ;experience challenging vocabulary and sentence structure from the teacher;
English;1st Class & 2nd Class;Oral Language ;Receptiveness to language ;listen to stories, descriptions, instructions and directions and respond to them;
English;1st Class & 2nd Class;Oral Language ;Receptiveness to language ;listen to sounds and respond to them;
English;1st Class & 2nd Class;Oral Language ;Receptiveness to language ;become more adept in using appropriate verbal and non-verbal behaviour in order to secure and maintain the attention of the listener;eye contact, facial expression, audibility and clarity of enunciation, tone of voice
English;1st Class & 2nd Class;Oral Language ;Receptiveness to language ;use gesture and movement to extend the meaning of what he/she is saying;
English;1st Class & 2nd Class;Oral Language ;Receptiveness to language ;express in mime various emotions and reactions, and interpret the emotions and reactions of others;
English;Junior Infants & Senior Infants;Oral Language ;Receptiveness to language ;experience, recognise and observe simple commands;look, listen, watch
English;Junior Infants & Senior Infants;Oral Language ;Receptiveness to language ;listen to a story or description and respond to it;
English;Junior Infants & Senior Infants;Oral Language ;Receptiveness to language ;hear, repeat and elaborate words, phrases and sentences modelled by the teacher;
English;Junior Infants & Senior Infants;Oral Language ;Receptiveness to language ;use and interpret tone of voice expressing various emotions;
English;Junior Infants & Senior Infants;Oral Language ;Receptiveness to language ;learn to adopt appropriate verbal and non-verbal behaviour to secure and maintain the attention of a partner ;establishing eye contact 
English;Junior Infants & Senior Infants;Oral Language ;Receptiveness to language ;learn to adopt appropriate verbal and non-verbal behaviour to secure and maintain the attention of a partner ;using appropriate head movements, gestures and facial expressions
English;Junior Infants & Senior Infants;Oral Language ;Receptiveness to language ;learn to adopt appropriate verbal and non-verbal behaviour to secure and maintain the attention of a partner ;ensuring audibility and clarity
English;Junior Infants & Senior Infants;Oral Language ;Receptiveness to language ;mime and interpret gesture, movement and attitude conveying various emotions;
English;3rd Class & 4th Class;Oral Language ;Receptiveness to language ;experience the teacher's use of challenging vocabulary and sentence structure;
English;3rd Class & 4th Class;Oral Language ;Receptiveness to language ;listen to, retell and tape a narrative or a description, taking turns giving the account;
English;3rd Class & 4th Class;Oral Language ;Receptiveness to language ;give and follow instructions on how to perform a particular task or process;
English;3rd Class & 4th Class;Oral Language ;Receptiveness to language ;become increasingly aware of the importance of gesture, facial expression, tone of voice, audibility and clarity of enunciation in communicating with others;
English;3rd Class & 4th Class;Oral Language ;Receptiveness to language ;use mime to convey ideas, reactions, emotions, desires and attitudes;
English;3rd Class & 4th Class;Oral Language ;Receptiveness to language ;discuss the use and effect of music, sound effects and non-verbal clues in audio tapes, video tapes and film clips;
English;5th Class & 6th Class;Oral Language ;Emotional and imaginative development through language ;discuss with others his/her reactions to everyday experiences and to local, national and world events;
English;5th Class & 6th Class;Oral Language ;Emotional and imaginative development through language ;discuss the concerns of other children;
English;5th Class & 6th Class;Oral Language ;Emotional and imaginative development through language ;discuss ideas, concepts and images encountered in literature;
English;5th Class & 6th Class;Oral Language ;Emotional and imaginative development through language ;discuss personal reading and writing;
English;5th Class & 6th Class;Oral Language ;Emotional and imaginative development through language ;express individual responses to poems and literature and discuss different interpretations;
English;5th Class & 6th Class;Oral Language ;Emotional and imaginative development through language ;discuss plays, films and television programmes;
English;5th Class & 6th Class;Oral Language ;Emotional and imaginative development through language ;experience and enjoy playful aspects of language;experimenting with sequences of words 
English;5th Class & 6th Class;Oral Language ;Emotional and imaginative development through language ;experience and enjoy playful aspects of language;discussing the origins and effects of unusual words 
English;5th Class & 6th Class;Oral Language ;Emotional and imaginative development through language ;experience and enjoy playful aspects of language;hearing and reading aloud humorous literature 
English;5th Class & 6th Class;Oral Language ;Emotional and imaginative development through language ;experience and enjoy playful aspects of language;telling riddles and jokes 
English;5th Class & 6th Class;Oral Language ;Emotional and imaginative development through language ;experience and enjoy playful aspects of language;playing word association games
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;describe everyday experiences and events;
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;express feelings in order to clarify them and explain them to others;
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;tell stories in his/her own words and answer questions about them;
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;listen to, read, learn and recite a varied and appropriate repertoire of rhymes and poems;
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;re-create stories and poems in improvisational drama;
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;use play and improvisational drama to sustain imaginary situations;
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;listen to and say nonsense words and unusual words;
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;listen to, learn and tell riddles and jokes;
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;clap the rhythms of poems and rhymes;
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;listen to, read, learn and recite more sophisticated nonsense verse and rhymes;
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;recognise and re-create sounds in the environment;
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;use imaginative play to create humorous characters and situations;
English;1st Class & 2nd Class;Oral Language ;Emotional and imaginative development through language ;create real and imaginary sound worlds;
English;Junior Infants & Senior Infants;Oral Language ;Emotional and imaginative development through language ;reflect on and talk about a wide range of everyday experience and feelings;
English;Junior Infants & Senior Infants;Oral Language ;Emotional and imaginative development through language ;create and tell stories;
English;Junior Infants & Senior Infants;Oral Language ;Emotional and imaginative development through language ;listen to, learn and retell a rich variety of stories, rhymes and songs;
English;Junior Infants & Senior Infants;Oral Language ;Emotional and imaginative development through language ;respond through discussion, mime and role-playing to stories, rhymes and songs heard and learnt;
English;Junior Infants & Senior Infants;Oral Language ;Emotional and imaginative development through language ;use language to create and sustain imaginary situations in play;
English;Junior Infants & Senior Infants;Oral Language ;Emotional and imaginative development through language ;listen to, learn and recite rhymes, including nonsense rhymes;
English;Junior Infants & Senior Infants;Oral Language ;Emotional and imaginative development through language ;listen to, learn and ask riddles;
English;Junior Infants & Senior Infants;Oral Language ;Emotional and imaginative development through language ;recognise and re-create sounds in the immediate environment;
English;Junior Infants & Senior Infants;Oral Language ;Emotional and imaginative development through language ;create real and imaginary sound worlds;
English;Junior Infants & Senior Infants;Oral Language ;Emotional and imaginative development through language ;experiment with different voices in role-playing;a favourite story, a cartoon character
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;describe everyday experiences to the class or group and discuss them;
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;discuss favourite moments, important events and exciting characters in a story, play or poem;
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;express reactions to events and characters in stories;
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;discuss reactions to poems;
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;create and tell stories to the class or group, and retell them after questioning, comparing the versions;
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;express feelings and attitudes through improvisational drama;
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;create and sustain imaginary contexts through improvisational drama;
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;react to poems through improvisational drama;
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;dramatise stories;
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;experience and enjoy playful aspects of language;asking riddles and telling jokes 
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;experience and enjoy playful aspects of language;experimenting with funny-sounding words 
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;experience and enjoy playful aspects of language;playing word association games 
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;experience and enjoy playful aspects of language;reading and listening to examples of humorous literature 
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;experience and enjoy playful aspects of language;composing rhymes and verses 
English;3rd Class & 4th Class;Oral Language ;Emotional and imaginative development through language ;experience and enjoy playful aspects of language;appreciating how words interact - how a word can trigger a humorous reaction
